treat,Female,HOMEPOS,ESCS
0,1,-0.408728063,-0.988372965
0,0,-0.4514935,0.32134182
0,0,0.986083104,0.921835761
0,1,-0.438437705,-0.171155745
0,1,0.094588231,-0.568075908
0,0,1.124659567,-0.816577152
0,1,-0.745403076,-0.153744829
0,0,-0.246610049,-0.658661369
0,0,0.723322392,0.832711357
0,1,-0.421578254,0.460142123
0,1,-0.001082725,-0.006924403
0,1,0.827151938,0.777191236
0,0,-2.092822737,-0.941497424
0,1,1.311038742,1.340062989
0,1,-1.232785132,-1.767237471
0,1,-0.054679592,-0.474446581
0,1,1.076445649,1.112138282
0,1,-1.429547262,0.172314127
0,0,-2.857152117,-2.625120745
0,1,-0.068557798,-1.486958263
0,1,-0.160976374,0.276779618
0,0,0.032701709,0.657871677
0,0,0.970046065,0.587862753
0,1,-0.174443375,0.170244298
0,0,-0.59521004,-1.48975862
0,0,0.152054286,0.312331976
0,0,3.610708981,1.938487101
0,0,-0.494258937,-1.081028255
0,0,0.284565459,-0.905458048
0,0,-1.441061033,-0.783581641
0,1,-0.872260165,-1.114754293
0,1,0.41831025,0.322559367
